imagen,porcentaje_enfermo,porcentaje_sano,estado,total_pixeles_aguacate
S.145.jpg,0.16,99.84,Sano,22969
S.197.jpg,0.18,99.82,Sano,21383
S.10.jpg,9.0,91.0,Enfermo,25822
S.206.jpg,0.12,99.88,Sano,21556
S.104.jpg,0.35,99.65,Sano,25680
S.114.jpg,0.21,99.79,Sano,23541
S.141.jpg,0.24,99.76,Sano,24512
S.144.jpg,0.12,99.88,Sano,22327
S.205.jpg,1.97,98.03,Enfermo,21579
S.140.jpg,0.32,99.68,Sano,23102
S.154.jpg,0.82,99.18,Sano,21102
S.107.jpg,0.17,99.83,Sano,24887
S.240.jpg,4.43,95.57,Enfermo,25815
S.237.jpg,0.63,99.37,Sano,16398
S.54.jpg,0.08,99.92,Sano,19898
S.68.jpg,3.93,96.07,Enfermo,21017
S.252.jpg,2.9,97.1,Enfermo,18413
S.220.jpg,0.63,99.37,Sano,20845
S.215.jpg,0.92,99.08,Sano,21081
S.274.jpg,29.89,70.11,Enfermo,30701
S.50.jpg,40.46,59.54,Enfermo,25796
S.27.jpg,5.85,94.15,Enfermo,24742
S.213.jpg,1.92,98.08,Enfermo,24109
S.21.jpg,3.33,96.67,Enfermo,22560
S.233.jpg,2.56,97.44,Enfermo,22193
S.282.jpg,5.36,94.64,Enfermo,25505
S.48.jpg,0.04,99.96,Sano,25939
S.53.jpg,2.06,97.94,Enfermo,24065
S.41.jpg,11.77,88.23,Enfermo,30943
S.52.jpg,0.49,99.51,Sano,22202
S.280.jpg,8.39,91.61,Enfermo,23168
S.239.jpg,2.74,97.26,Enfermo,21820
S.40.jpg,0.02,99.98,Sano,26311
S.285.jpg,6.82,93.18,Enfermo,17585
S.268.jpg,24.29,75.71,Enfermo,20750
S.284.jpg,16.83,83.17,Enfermo,18040
S.23.jpg,8.25,91.75,Enfermo,30339
S.212.jpg,0.4,99.6,Sano,23747
S.241.jpg,1.75,98.25,Enfermo,25834
S.279.jpg,7.27,92.73,Enfermo,24296
S.58.jpg,0.08,99.92,Sano,19660
S.218.jpg,0.49,99.51,Sano,25776
S.64.jpg,0.45,99.55,Sano,23867
S.65.jpg,2.25,97.75,Enfermo,29899
S.227.jpg,3.78,96.22,Enfermo,20004
S.67.jpg,4.2,95.8,Enfermo,22386
S.29.jpg,4.41,95.59,Enfermo,23840
S.249.jpg,8.01,91.99,Enfermo,25479
S.266.jpg,36.18,63.82,Enfermo,31969
S.250.jpg,13.66,86.34,Enfermo,28207
S.34.jpg,0.04,99.96,Sano,22996
S.31.jpg,0.04,99.96,Sano,24346
S.36.jpg,0.44,99.56,Sano,30913
S.248.jpg,10.72,89.28,Enfermo,33609
S.225.jpg,0.64,99.36,Sano,18650
S.281.jpg,5.7,94.3,Enfermo,23071
S.49.jpg,0.26,99.74,Sano,24884
S.265.jpg,10.27,89.73,Enfermo,31322
S.222.jpg,1.57,98.43,Enfermo,23884
S.56.jpg,7.37,92.63,Enfermo,23489
S.271.jpg,2.16,97.84,Enfermo,19794
S.229.jpg,0.8,99.2,Sano,21352
S.242.jpg,2.15,97.85,Enfermo,25344
S.42.jpg,0.02,99.98,Sano,24184
S.44.jpg,5.44,94.56,Enfermo,32149
S.59.jpg,5.53,94.47,Enfermo,22801
S.267.jpg,12.82,87.18,Enfermo,32581
S.246.jpg,23.33,76.67,Enfermo,27876
S.276.jpg,14.51,85.49,Enfermo,25087
S.66.jpg,0.72,99.28,Sano,19607
S.5.jpg,3.37,96.63,Enfermo,32700
S.278.jpg,2.19,97.81,Enfermo,22880
S.28.jpg,0.24,99.76,Sano,27076
S.51.jpg,0.02,99.98,Sano,25376
S.219.jpg,0.27,99.73,Sano,22990
S.262.jpg,12.3,87.7,Enfermo,23159
S.228.jpg,0.53,99.47,Sano,21776
S.230.jpg,0.88,99.12,Sano,23400
S.263.jpg,7.06,92.94,Enfermo,21928
S.247.jpg,29.34,70.66,Enfermo,33308
S.6.jpg,1.29,98.71,Enfermo,13145
S.32.jpg,9.19,90.81,Enfermo,24734
S.264.jpg,11.73,88.27,Enfermo,22875
S.259.jpg,18.5,81.5,Enfermo,24053
S.39.jpg,0.19,99.81,Sano,19788
S.3.jpg,1.2,98.8,Enfermo,19468
S.221.jpg,0.39,99.61,Sano,23579
S.231.jpg,0.36,99.64,Sano,19370
S.238.jpg,1.4,98.6,Enfermo,14583
S.277.jpg,19.44,80.56,Enfermo,25576
S.62.jpg,10.14,89.86,Enfermo,24294
S.61.jpg,0.42,99.58,Sano,23290
S.245.jpg,5.27,94.73,Enfermo,29700
S.211.jpg,0.38,99.62,Sano,20219
S.38.jpg,5.72,94.28,Enfermo,30685
S.275.jpg,2.57,97.43,Enfermo,23598
S.223.jpg,0.12,99.88,Sano,22707
S.47.jpg,6.45,93.55,Enfermo,32067
S.270.jpg,2.37,97.63,Enfermo,19422
S.253.jpg,16.08,83.92,Enfermo,17287
S.258.jpg,14.52,85.48,Enfermo,20171
S.25.jpg,0.01,99.99,Sano,25179
S.269.jpg,0.72,99.28,Sano,19403
S.26.jpg,2.04,97.96,Enfermo,28051
S.22.jpg,6.29,93.71,Enfermo,20959
S.217.jpg,0.33,99.67,Sano,25956
S.256.jpg,3.79,96.21,Enfermo,18723
S.251.jpg,2.88,97.12,Enfermo,23041
S.45.jpg,0.02,99.98,Sano,25168
S.287.jpg,14.53,85.47,Enfermo,25198
S.234.jpg,0.54,99.46,Sano,18962
S.273.jpg,6.13,93.87,Enfermo,21245
S.286.jpg,4.71,95.29,Enfermo,14876
S.260.jpg,44.28,55.72,Enfermo,23226
S.243.jpg,3.62,96.38,Enfermo,32658
S.244.jpg,3.94,96.06,Enfermo,29375
S.216.jpg,0.29,99.71,Sano,26080
S.261.jpg,28.49,71.51,Enfermo,23762
S.224.jpg,0.07,99.93,Sano,20981
S.35.jpg,7.22,92.78,Enfermo,25268
S.60.jpg,0.13,99.87,Sano,22342
S.283.jpg,16.51,83.49,Enfermo,17357
S.210.jpg,3.04,96.96,Enfermo,23656
S.4.jpg,0.91,99.09,Sano,20576
S.37.jpg,0.28,99.72,Sano,25609
S.30.jpg,0.11,99.89,Sano,23639
S.63.jpg,0.14,99.86,Sano,23675
S.272.jpg,7.69,92.31,Enfermo,21576
S.226.jpg,0.98,99.02,Sano,21679
S.57.jpg,0.03,99.97,Sano,24233
S.214.jpg,0.02,99.98,Sano,19726
S.236.jpg,0.01,99.99,Sano,10999
S.254.jpg,22.04,77.96,Enfermo,16838
S.255.jpg,4.83,95.17,Enfermo,17703
S.33.jpg,0.06,99.94,Sano,20638
S.257.jpg,3.89,96.11,Enfermo,18083
S.235.jpg,4.77,95.23,Enfermo,16826
S.24.jpg,25.89,74.11,Enfermo,33969
S.46.jpg,0.17,99.83,Sano,23461
S.43.jpg,0.18,99.82,Sano,24182
S.55.jpg,0.01,99.99,Sano,22758
S.232.jpg,3.75,96.25,Enfermo,22380
S.94.jpg,0.08,99.92,Sano,20240
S.98.jpg,0.08,99.92,Sano,21166
S.74.jpg,0.05,99.95,Sano,25724
S.73.jpg,6.56,93.44,Enfermo,20725
S.9.jpg,7.59,92.41,Enfermo,24753
S.93.jpg,0.01,99.99,Sano,21977
S.82.jpg,3.39,96.61,Enfermo,28126
S.8.jpg,7.4,92.6,Enfermo,23580
S.78.jpg,2.72,97.28,Enfermo,30604
S.90.jpg,0.06,99.94,Sano,24802
S.69.jpg,4.36,95.64,Enfermo,26659
S.83.jpg,0.95,99.05,Sano,24431
S.7.jpg,53.14,46.86,Enfermo,29629
S.95.jpg,0.28,99.72,Sano,29944
S.84.jpg,5.79,94.21,Enfermo,14910
S.99.jpg,0.11,99.89,Sano,26509
S.85.jpg,0.16,99.84,Sano,26458
S.80.jpg,2.46,97.54,Enfermo,28206
S.91.jpg,0.52,99.48,Sano,33741
S.79.jpg,7.03,92.97,Enfermo,29530
S.87.jpg,0.09,99.91,Sano,34859
S.97.jpg,0.19,99.81,Sano,26191
S.70.jpg,0.23,99.77,Sano,22954
S.72.jpg,0.38,99.62,Sano,22110
S.96.jpg,0.17,99.83,Sano,27061
S.89.jpg,0.21,99.79,Sano,25661
S.86.jpg,0.14,99.86,Sano,34948
S.92.jpg,0.15,99.85,Sano,27233
S.88.jpg,0.01,99.99,Sano,32906
S.77.jpg,6.3,93.7,Enfermo,27595
S.81.jpg,4.97,95.03,Enfermo,27462
S.75.jpg,6.53,93.47,Enfermo,27807
S.76.jpg,0.1,99.9,Sano,21829
S.71.jpg,4.81,95.19,Enfermo,31590
